tconst;averageRating;numVotes;Title;startYear;runtimeMinutes;genres;director
tt0304141;7.9;666885;Harry Potter and the Prisoner of Azkaban;2004;142;Adventure,Family,Fantasy;Alfonso Cuarón
tt0241527;7.6;824497;Harry Potter and the Sorcerer's Stone;2001;152;Adventure,Family,Fantasy;Chris Columbus
tt0433387;6.8;67639;Harsh Times;2005;116;Action,Crime,Drama;David Ayer
tt0251114;6.3;54543;Hart's War;2002;125;Drama,War;Gregory Hoblit
tt0059255;4.6;1899;Harum Scarum;1965;95;Comedy,Crime,Musical;Gene Nelson
tt0242508;4.8;4527;Harvard Man;2001;99;Comedy,Crime,Drama;James Toback
tt1827528;6.5;2252;Harvest;2011;88;Drama,Romance;Benjamin Cantu
tt0042546;7.9;57263;Harvey;1950;104;Comedy,Drama,Fantasy;Henry Koster
tt0043873;7.1;1689;Has Anybody Seen My Gal;1952;88;Comedy;Douglas Sirk
tt3173910;6.8;15941;Hasee Toh Phasee;2014;141;Comedy,Romance;Vinil Mathew
tt11027830;6.9;28719;Haseen Dillruba;2021;135;Crime,Drama,Mystery;Vinil Mathew
tt27834317;8.3;1042;Haseena;2023;122;Drama,Thriller;Naveen Eragani
tt6512784;6.3;8424;Haseena;2017;135;Biography,Crime,Drama;Apoorva Lakhia
tt0267548;6.3;3514;Haseena Maan Jaayegi;1999;147;Action,Comedy,Romance;David Dhawan
tt0279854;6.8;1395;Hasip ile Nasip;1976;83;Comedy;Atif Yilmaz
tt1423939;6.9;3352;Hassan wa Morcus;2008;120;Comedy,Drama;Rami Imam
tt1034311;5.5;1610;Hata Göteborg;2007;82;Comedy,Drama;Robert Lillhonga
tt0056059;7.1;13878;Hatari!;1962;157;Action,Adventure,Comedy;Howard Hawks
tt0415833;6.3;1571;Hate Crime;2005;104;Crime,Drama,Mystery;Tommy Stovall
tt2257436;4.2;1133;Hate Crime;2012;73;Action,Horror,Thriller;James Cullen Bressack
tt2309987;5.3;3910;Hate Story;2012;140;Drama,Thriller;Vivek Agnihotri
tt3619772;4.4;2354;Hate Story 2;2014;130;Drama,Thriller;Vishal Pandya
tt4865436;4.6;3402;Hate Story 3;2015;126;Drama,Thriller;Vishal Pandya
tt5325684;3.4;1770;Hate Story IV;2018;131;Crime,Drama,Thriller;Vishal Pandya
tt0107086;7.2;3402;Hated: GG Allin & the Murder Junkies;1993;52;Biography,Documentary,Music;Todd Phillips
tt2463512;6.1;7092;Hateship Loveship;2013;104;Drama,Romance;Liza Johnson
tt0422401;5.6;32645;Hatchet;2006;93;Comedy,Horror,Thriller;Adam Green
tt0064904;6.3;4152;Hatchet for the Honeymoon;1970;88;Horror,Mystery,Thriller;Mario Bava
tt1270835;5.4;14634;Hatchet II;2010;85;Action,Comedy,Horror;Adam Green
tt1870419;5.6;10146;Hatchet III;2013;81;Action,Comedy,Horror;BJ McDonnell
tt12519030;6.2;13410;Hatching;2022;91;Drama,Fantasy,Horror;Hanna Bergholm
tt6068960;7.6;6506;Hatred;2016;150;Drama,War;Wojciech Smarzowski
tt2386278;5.1;8577;Haunt;2013;86;Horror,Mystery,Romance;Mac Carter
tt6535880;6.3;33421;Haunt;2019;92;Horror,Thriller;
tt0113269;6.2;7143;Haunted;1995;108;Drama,Horror;Lewis Gilbert
tt6322902;4.7;1824;Haunted;2017;81;Crime,Drama,Horror;Carl Christian Raabe
tt1887763;6.3;2578;Haunted - 3D;2011;143;Action,Fantasy,Horror;Vikram Bhatt
tt0462517;3.6;1456;Haunted Forest;2007;81;Horror;Mauro Borrelli
tt0091178;5.6;7793;Haunted Honeymoon;1986;82;Comedy;Gene Wilder
tt7214470;4.1;2005;Haunted Hospital;2018;89;Horror,Mystery,Thriller;Michael David Pate
tt1695843;6.2;12602;Haunted Mansion;2023;123;Comedy,Drama,Family;Justin Simien
tt2345567;5.9;18215;Haunter;2013;97;Fantasy,Horror,Mystery;Vincenzo Natali
